Страна или территория;Столица;Площадь, км^2;Население, чел.;Континент;Явялется территорией или владением
Абхазия;Сухум;8600;243564;Азия;Грузия
Австралия;Канберра;7686850;24238610;Австралия и Океания;
Австрия;Вена;83858;8741753;Европа;
Азербайджан;Баку;86600;9705600;Азия;
Албания;Тирана;28748;2866026;Европа;
Алжир;Алжир;2381740;39813722;Африка;
Ангола;Луанда;1246700;25831000;Африка;
Андорра;Андорра-ла-Велья;468;78014;Европа;
Антигуа и Барбуда;Сент-Джонс;442;93581;Северная Америка;
Аргентина;Буэнос-Айрес;2766890;43847000;Южная Америка;
Армения;Ереван;29741;2995100;Азия;
Афганистан;Кабул;647500;29822848;Азия;
Багамские Острова;Нассау;13940;393000;Северная Америка;
Бангладеш;Дакка;144000;160221000;Азия;
Барбадос;Бриджтаун;430;291495;Северная Америка;
Бахрейн;Манама;701;1397000;Азия;
Белиз;Бельмопан;22966;377968;Северная Америка;
Белоруссия;Минск;207595;9498400;Европа;
Бельгия;Брюссель;30528;11250585;Европа;
Бенин;Порто-Ново;112620;11167000;Африка;
Болгария;София;110910;7153784;Европа;
Боливия;Сукре;1098580;10985059;Южная Америка;
Босния и Герцеговина;Сараево;51129;3802000;Европа;
Ботсвана;Габороне;600370;2209208;Африка;
Бразилия;Бразилиа;8511965;206081432;Южная Америка;
Бруней;Бандар-Сери-Бегаван;5770;436620;Азия;
Буркина-Фасо;Уагадугу;274200;19034397;Африка;
Бурунди;Гитега;27830;11099298;Африка;
Бутан;Тхимпху;47000;784000;Азия;
Вануату;Порт-Вила;12200;289700;Австралия и Океания;
Ватикан;Ватикан;0;842;Европа;
Великобритания;Лондон;24482065;341183;Европа;
Венгрия;Будапешт;93030;9830485;Европа;
Венесуэла;Каракас;912050;31028637;Южная Америка;
Восточный Тимор;Дили;14874;1167242;Азия;
Вьетнам;Ханой;329560;91713300;Азия;
Габон;Либревиль;267667;1811079;Африка;
Гаити;Порт-о-Пренс;27750;10911819;Северная Америка;
Гайана;Джорджтаун;214970;741962;Южная Америка;
Гамбия;Банжул;11300;2025527;Африка;
Гана;Аккра;238540;28308301;Африка;
Гватемала;Гватемала;108890;16555556;Северная Америка;
Гвинея;Конакри;245857;10628972;Африка;
Гвинея-Бисау;Бисау;36120;1547754;Африка;
Германия;Берлин;357021;82175684;Европа;
Гондурас;Тегусигальпа;112090;8721014;Северная Америка;
Государство Палестина;Иерусалим (Рамалла);6020;4816503;Азия;Израиль
Гренада;Сент-Джорджес;340;110566;Северная Америка;
